2026-08-11 10:34:40,805 | ERROR | Error getting depth for NAHARINDUS-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:41,449 | ERROR | Error getting depth for COMMOIETF-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:44,039 | ERROR | Error getting depth for ELIN-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:49,324 | ERROR | Error getting depth for GLOBAL-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:53,394 | ERROR | Error getting depth for ORIENTBELL-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:56,060 | ERROR | Error getting depth for 021NSETEST-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:56,763 | ERROR | Error getting depth for 061NSETEST-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:57,400 | ERROR | Error getting depth for 161NSETEST-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:58,055 | ERROR | Error getting depth for SPARC-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:34:58,699 | ERROR | Error getting depth for ALPA-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:00,056 | ERROR | Error getting depth for ASIANTILES-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:17,219 | INFO | Fetched 2485 NSE stocks
2026-08-11 10:35:19,211 | ERROR | Error getting depth for SHAREINDIA-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:20,546 | ERROR | Error getting depth for MUTHOOTCAP-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:21,243 | ERROR | Error getting depth for NAVKARCORP-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:21,915 | ERROR | Error getting depth for MOM30IETF-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:22,568 | ERROR | Error getting depth for UNIONBANK-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:23,259 | ERROR | Error getting depth for MOQUALITY-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:23,892 | ERROR | Error getting depth for DBOL-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:25,906 | ERROR | Error getting depth for UNIENTER-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:27,293 | ERROR | Error getting depth for MAHABANK-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:27,957 | ERROR | Error getting depth for GICHSGFIN-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:29,987 | ERROR | Error getting depth for TEXINFRA-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:33,639 | ERROR | Error getting depth for EVEREADY-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:34,300 | ERROR | Error getting depth for HPIL-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:35,664 | ERROR | Error getting depth for SUKHJITS-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:36,284 | ERROR | Error getting depth for SSWL-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:39,505 | ERROR | Error getting depth for MBAPL-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:40,149 | ERROR | Error getting depth for DJML-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:41,505 | ERROR | Error getting depth for UFLEX-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:42,118 | ERROR | Error getting depth for MOHEALTH-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:42,842 | ERROR | Error getting depth for LOYALTEX-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:43,603 | ERROR | Error getting depth for GUJENERGY-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:45,635 | ERROR | Error getting depth for SIRCA-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:47,049 | ERROR | Error getting depth for TVSELECT-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:47,729 | ERROR | Error getting depth for TIPSFILMS-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:52,190 | ERROR | Error getting depth for PPLPHARMA-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:52,839 | ERROR | Error getting depth for DWARKESH-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:55,483 | ERROR | Error getting depth for PRIMESECU-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:56,154 | ERROR | Error getting depth for RUSTOMJEE-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:56,903 | ERROR | Error getting depth for AAATECH-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:58,952 | ERROR | Error getting depth for ENIL-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:35:59,778 | ERROR | Error getting depth for BLKASHYAP-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:36:00,482 | ERROR | Error getting depth for NITCO-EQ: 'SmartConnect' object has no attribute 'marketData'
2026-08-11 10:36:02,118 | ERROR | Error getting depth for GMRAIRPORT-EQ: 'SmartConnect' object has no attribute 'marketData'
